rpc_id,rental_date,returning_date,trip_duration_days
890,2021-09-26,2021-12-27,92.0
3286,2020-08-20,2020-12-15,117.0
378,2021-01-24,2021-05-27,123.0
1512,2020-05-15,2020-09-06,114.0
4867,2020-04-01,2020-07-03,93.0
4196,2023-04-11,2023-07-28,108.0
587,2024-02-21,2024-07-13,143.0
2376,2020-10-29,2021-03-10,132.0
4112,2022-05-19,2022-08-17,90.0
405,2022-05-18,2022-09-03,108.0
73,2022-01-25,2022-05-29,124.0
931,2022-02-17,2022-05-29,101.0
4929,2022-01-15,2022-05-11,116.0
2954,2024-05-23,2024-08-20,89.0
605,2024-01-26,2024-06-11,137.0
3499,2023-01-14,2023-06-14,151.0
977,2023-03-30,2023-07-24,116.0
944,2023-01-28,2023-04-24,86.0
2534,2024-06-23,,
4324,2024-09-28,,
2921,2020-04-20,2020-09-22,155.0
429,2021-07-20,,
4397,2024-08-19,,
2196,2021-12-20,2022-02-19,61.0
4211,2022-11-13,2023-04-13,151.0
3902,2021-04-10,2021-08-02,114.0
3098,2024-05-19,2024-09-13,117.0
4587,2023-02-18,2023-06-13,115.0
3093,2022-10-09,2023-02-09,123.0
83,2021-05-15,2021-08-31,108.0
4390,2022-09-16,2023-01-10,116.0
2196,2020-01-02,2020-03-27,85.0
274,2022-12-01,2023-03-17,106.0
4542,2023-08-23,2024-01-16,146.0
142,2024-06-21,2024-11-11,143.0
1504,2023-03-13,2023-06-25,104.0
2180,2023-06-18,2023-09-24,98.0
2578,2024-04-24,2024-08-07,105.0
4509,2024-01-23,2024-04-17,85.0
3618,2021-05-21,2021-07-26,66.0
2755,2021-02-27,2021-05-07,69.0
4787,2022-06-10,2022-09-16,98.0
2727,2020-01-05,2020-04-08,94.0
3227,2022-10-29,2023-01-08,71.0
1148,2024-03-10,2024-08-22,165.0
4557,2023-07-28,2023-10-24,88.0
1891,2024-10-16,,
2815,2023-09-01,2023-12-19,109.0
3355,2020-12-19,2021-03-03,74.0
1388,2024-07-01,,
4747,2020-01-16,2020-03-14,58.0
290,2024-10-13,,
1662,2024-02-29,2024-05-25,86.0
3738,2020-09-13,2020-12-19,97.0
358,2021-12-03,2022-01-31,59.0
4258,2022-01-12,2022-05-25,133.0
2548,2020-12-27,2021-03-20,83.0
4019,2022-10-03,2023-02-05,125.0
175,2022-07-14,2022-09-11,59.0
1182,2021-04-15,2021-06-09,55.0
3075,2024-08-02,2024-10-14,73.0
1129,2022-01-28,2022-05-25,117.0
2256,2021-05-27,2021-08-27,92.0
750,2020-10-25,2021-01-29,96.0
2015,2021-05-07,2021-09-16,132.0
1339,2023-06-20,2023-10-17,119.0
2064,2022-06-10,2022-08-18,69.0
404,2020-04-11,2020-07-28,108.0
221,2024-10-21,,
3941,2024-01-12,2024-04-23,102.0
4163,2021-08-31,2021-11-01,62.0
2195,2021-06-12,2021-09-20,100.0
1361,2022-07-25,2022-11-20,118.0
3782,2024-03-08,2024-05-26,79.0
806,2023-10-17,2024-01-06,81.0
3713,2020-01-12,2020-03-13,61.0
4310,2022-12-31,2023-03-25,84.0
18,2021-06-09,2021-09-19,102.0
1052,2020-04-30,2020-08-20,112.0
2718,2020-12-07,2021-04-04,118.0
1415,2021-04-05,2021-07-03,89.0
1830,2024-10-06,,
3748,2023-12-28,2024-03-18,81.0
3653,2021-01-01,2021-04-22,111.0
4144,2021-07-31,2021-10-15,76.0
178,2024-04-22,2024-09-02,133.0
4897,2020-09-04,2021-01-01,119.0
2731,2024-06-09,2024-08-31,83.0
1839,2023-12-24,2024-04-16,114.0
1164,2020-09-04,2020-12-21,108.0
4339,2021-10-02,2021-11-17,46.0
4534,2024-09-02,,
3415,2022-01-06,2022-04-13,97.0
2179,2020-06-28,2020-09-24,88.0
1321,2020-01-19,2020-04-30,102.0
4436,2021-11-15,2022-03-21,126.0
1189,2021-08-28,2021-11-26,90.0
4284,2021-05-23,2021-10-08,138.0
3081,2020-07-18,2020-10-30,104.0
3642,2021-02-07,2021-03-30,51.0
4955,2023-08-27,2023-12-27,122.0
477,2023-05-17,2023-08-20,95.0
4656,2024-08-09,,
1942,2020-12-26,2021-04-23,118.0
4699,2021-03-16,2021-05-09,54.0
4672,2021-09-26,2021-11-23,58.0
639,2022-08-31,2022-12-11,102.0
4848,2020-01-15,2020-04-20,96.0
3679,2024-07-09,2024-09-14,67.0
3705,2024-02-28,2024-06-03,96.0
1994,2022-08-22,2022-11-12,82.0
604,2021-07-25,2021-10-05,72.0
342,2024-03-20,2024-07-15,117.0
3870,2022-09-02,2022-11-19,78.0
557,2020-01-15,2020-04-02,78.0
4365,2021-03-29,2021-07-07,100.0
3940,2021-08-04,2021-10-04,61.0
232,2020-09-06,2020-11-06,61.0
4572,2022-08-11,2022-11-23,104.0
3263,2020-10-26,2021-02-26,123.0
4453,2021-07-25,2021-11-24,122.0
93,2021-06-24,2021-09-01,69.0
1850,2024-02-14,2024-05-06,82.0
2423,2024-11-10,,
1527,2020-09-26,2021-02-11,138.0
4954,2021-11-22,2022-03-28,126.0
3736,2022-06-15,2022-08-24,70.0
2425,2024-04-23,2024-07-11,79.0
787,2024-07-29,,
4959,2022-04-07,2022-08-24,139.0
1584,2020-09-15,2020-12-16,92.0
1052,2020-08-27,2020-10-12,46.0
694,2021-11-19,2022-02-17,90.0
2379,2024-02-09,2024-06-13,125.0
1119,2020-04-15,2020-09-27,165.0
918,2021-10-29,2022-03-04,126.0
1867,2022-11-15,2023-04-30,166.0
2059,2024-02-10,2024-04-12,62.0
1157,2022-03-15,2022-07-21,128.0
93,2022-07-23,2022-11-09,109.0
1788,2024-10-05,,
2135,2020-10-23,2021-02-04,104.0
2221,2021-08-05,2021-11-18,105.0
541,2022-03-06,2022-06-28,114.0
3310,2021-08-11,2021-11-22,103.0
3296,2024-07-26,,
64,2021-05-22,2021-09-22,123.0
3591,2023-01-19,2023-04-18,89.0
2930,2021-06-24,2021-10-30,128.0
4852,2023-03-26,2023-06-02,68.0
2974,2021-08-17,2021-11-19,94.0
2545,2023-12-07,2024-05-28,173.0
3489,2021-04-27,2021-07-19,83.0
3761,2024-10-25,,
3634,2021-03-15,2021-06-29,106.0
386,2021-03-12,2021-06-25,105.0
